iter	Logloss
0	0.4605848798
1	0.325733722
2	0.247915373
3	0.2025937578
4	0.173453542
5	0.1559894716
6	0.1445312525
7	0.1372332999
8	0.1319774935
9	0.128267569
10	0.1258347703
11	0.1237015499
12	0.1224728548
13	0.1214782427
14	0.1208359508
15	0.120346353
16	0.119872172
17	0.1195419441
18	0.1191543622
19	0.1189033357
20	0.1187061991
21	0.1185432845
22	0.1183623549
23	0.1182384691
24	0.1181077805
25	0.1179833538
26	0.1179215493
27	0.1178605468
28	0.11778585
29	0.1177293775
30	0.1176833496
31	0.1176158214
32	0.1175225756
33	0.1174825424
34	0.1174558123
35	0.1174139944
36	0.1173770003
37	0.1173424448
38	0.1173082556
39	0.1172565417
40	0.1172316254
41	0.1171592112
42	0.117108154
43	0.1170858546
44	0.1170712954
45	0.1170090739
46	0.1169786894
47	0.1169458198
48	0.1169225058
49	0.1169092072
50	0.1168580412
51	0.1168482126
52	0.1168183179
53	0.1167996016
54	0.116791427
55	0.1167525518
56	0.1166934476
57	0.116673663
58	0.116645991
59	0.1166206052
60	0.1165674775
61	0.1165323895
62	0.1165164496
63	0.1164967305
64	0.1164879294
65	0.1164797373
66	0.1164689425
67	0.1164688211
68	0.116458125
69	0.1164309808
70	0.1164244839
71	0.1164087537
72	0.1163898859
73	0.1163559577
74	0.1163453179
75	0.1163191959
76	0.1163061707
77	0.1162828127
78	0.1162744485
79	0.116244188
80	0.1162052229
81	0.116168675
82	0.1161509754
83	0.1161389316
84	0.1161230062
85	0.1160418202
86	0.1159941829
87	0.1159619215
88	0.1159306083
89	0.115917684
90	0.1159117781
91	0.1158845637
92	0.1158604881
93	0.1158539891
94	0.1158200617
95	0.1158095127
96	0.1157845147
97	0.1157406894
98	0.1157231246
99	0.1156861335
100	0.1156524424
101	0.1156321782
102	0.1155994195
103	0.1155577106
104	0.115546779
105	0.1155126268
106	0.1154548259
107	0.115391049
108	0.1153788949
109	0.1153642713
110	0.1153608051
111	0.1153511733
112	0.1153123247
113	0.1152941543
114	0.1152572875
115	0.1152448078
116	0.1152332314
117	0.1152083656
118	0.1151938187
119	0.1151440538
120	0.1151085956
121	0.1150933925
122	0.115065528
123	0.1150396812
124	0.1150363065
125	0.115030766
126	0.1150132382
127	0.1150131976
128	0.1150131941
129	0.1149738456
130	0.1149530282
131	0.1149334526
132	0.1149334523
133	0.1149208439
134	0.1148925188
135	0.1148481207
136	0.1148093706
137	0.1147928946
138	0.1147928945
139	0.1147928945
140	0.1147928944
141	0.1147626801
142	0.1147436077
143	0.1147303958
144	0.1147021466
145	0.1147021462
146	0.1147021462
147	0.1147021462
148	0.1146683671
149	0.114668336
150	0.114652244
151	0.1146143198
152	0.1146143196
153	0.1146143195
154	0.1145955701
155	0.1145855249
156	0.1145835133
157	0.1145664855
158	0.1145663498
159	0.1145663495
160	0.1145547946
161	0.1145547655
162	0.1145367163
163	0.1145128165
164	0.1145128164
165	0.1145128124
166	0.1144883
167	0.114488299
168	0.114488282
169	0.1144882147
170	0.1144804654
171	0.1144714622
172	0.1144634123
173	0.114449383
